Date,Actual Price,Predicted Price (run 1),Predicted Price (run 2),Predicted Price (run 3)
2023/04/17,85.08000183,85.27866,85.138115,85.82415
2023/04/18,85.59999847,85.10478,84.964165,85.64884
2023/04/19,85.41000366,85.60738,85.46002,86.153694
2023/04/20,85.66000366,85.375824,85.25708,85.914085
2023/04/21,85.69999695,85.64906,85.529816,86.17986
2023/04/24,85.25,85.664986,85.54816,86.20969
2023/04/25,85.91000366,85.250175,85.14047,85.78372
2023/04/26,79.09999847,85.91685,85.78243,86.46183
2023/04/27,77.16999817,79.722435,79.61573,80.273735
2023/04/28,77.66000366,78.11459,77.807785,78.722664
2023/05/01,77.59999847,78.15959,77.775566,78.91176
2023/05/02,77.04000092,77.91243,77.67195,78.52193
2023/05/03,75.75,77.342545,77.21195,77.94232
2023/05/04,74.90000153,76.16246,76.07075,76.82165
2023/05/05,74.83000183,75.28729,75.204216,76.00851
2023/05/08,75.68000031,75.05719,74.98612,75.82351
2023/05/09,75.26999664,75.67337,75.64404,76.44109
2023/05/10,76.59999847,75.351364,75.37688,76.09005
2023/05/11,76.26999664,76.42378,76.490585,77.18648
2023/05/12,76.59999847,76.23036,76.30902,76.986015
