Date,Actual,Predicted (Run 1),Predicted (Run 2),Predicted (Run 3),Predicted (Run 4),Predicted (Run 5),Predicted (Run 6)
2023/01/11,231.289993,223.941,224.482,225.01,231.659,229.425,228.886
2023/01/12,235.259995,225.689,226.422,227.47,233.375,231.226,230.017
2023/01/13,237,229.105,229.948,231.24,236.789,234.576,233.052
2023/01/17,237.970001,232.707,233.509,234.687,240.424,238.001,236.657
2023/01/18,241.570007,235.381,236.017,236.882,243.16,240.467,239.628
2023/01/19,233.779999,237.608,238.055,238.783,245.489,242.595,242.156
2023/01/20,234.860001,237.14,237.444,237.736,245.056,241.983,242.169
2023/01/23,241.100006,235.4,235.695,235.759,243.371,240.28,240.712
2023/01/24,242.5,235.375,235.817,236.27,243.47,240.543,240.485
2023/01/25,234.479996,237.067,237.756,238.66,245.272,242.522,241.826
2023/01/26,243.649994,236.988,237.91,238.456,245.214,242.471,241.84
2023/01/27,248.990005,237.777,238.881,239.358,246.109,243.418,242.588
2023/01/30,244.509995,240.706,241.913,242.711,249.171,246.562,245.306
2023/01/31,243.449997,242.766,243.977,244.613,251.288,248.607,247.517
2023/02/01,248,242.972,244.127,244.316,251.526,248.714,248.105
2023/02/02,258.820007,243.319,244.425,244.567,251.955,249.126,248.625
2023/02/03,259.540009,246.862,247.973,248.814,255.648,252.958,251.892
2023/02/06,257.440002,251.479,252.612,253.822,260.364,257.718,256.421
2023/02/07,260.529999,254.094,255.202,255.999,263.035,260.249,259.437
2023/02/08,273.200012,255.399,256.46,256.865,264.459,261.566,261.196
2023/02/09,273.799988,259.442,260.506,261.437,268.772,265.996,265.215
2023/02/10,261.529999,264.162,265.231,266.481,273.694,270.975,270.029
2023/02/13,267.640015,263.652,264.665,264.952,273.19,270.238,270.295
2023/02/14,272.670013,262.06,263.115,263.016,271.77,268.813,269.151
2023/02/15,268.320007,262.598,263.783,264.179,272.572,269.84,269.579
2023/02/16,264.019989,263.069,264.393,264.973,273.146,270.567,270.006
2023/02/17,259.390015,261.784,263.213,263.431,271.845,269.309,268.918
2023/02/21,254.479996,258.687,260.165,259.898,268.692,266.198,266.086
2023/02/22,254.089996,254.472,255.955,255.397,264.396,262.009,262.022
2023/02/23,255.559998,251.038,252.529,252.147,260.888,258.704,258.425
2023/02/24,249.960007,249.665,251.171,251.306,259.417,257.461,256.616
2023/02/27,252.460007,248.343,249.799,250.044,257.88,255.991,255.053
2023/02/28,249.070007,247.738,249.078,249.415,257.077,255.203,254.246
2023/03/01,250.759995,246.897,248.027,248.321,256.025,254.083,253.357
2023/03/02,246.550003,246.467,247.353,247.758,255.434,253.427,252.859
2023/03/03,252.190002,245.38,246.012,246.413,254.175,252.065,251.808
2023/03/06,256.429993,245.594,246.052,246.797,254.315,252.188,251.852
2023/03/07,256.299988,247.853,248.219,249.507,256.562,254.449,253.805
2023/03/08,254.039993,250.435,250.728,252.185,259.13,256.924,256.305
2023/03/09,255.820007,251.472,251.667,252.818,260.155,257.758,257.584
2023/03/10,251.080002,251.745,251.87,252.814,260.497,257.971,258.089
2023/03/13,247.399994,250.512,250.604,251.302,259.32,256.708,257.104
2023/03/14,256.75,247.914,248.054,248.53,256.765,254.145,254.677
2023/03/15,259.980011,247.979,248.321,249.311,257.011,254.561,254.377
2023/03/16,265.209991,250.864,251.464,253.079,260.053,257.762,256.736
2023/03/17,278.26001,255.579,256.382,258.271,264.893,262.629,261.137
2023/03/20,276.980011,263.252,264.152,266.38,272.776,270.5,268.607
2023/03/21,274.880005,269.443,270.204,271.98,279.114,276.551,275.262
2023/03/22,273.399994,271.59,272.091,272.966,281.398,278.411,278.288
2023/03/23,277.940002,270.647,270.995,271.285,280.662,277.411,278.07
2023/03/24,277.23999,270.23,270.682,271.224,280.586,277.384,277.784
2023/03/27,280.5,270.467,271.202,272.1,281.081,278.048,277.876
2023/03/28,275.790009,271.877,272.992,274.12,282.69,279.871,279.036
2023/03/29,278.959991,271.997,273.388,274.093,282.855,280.114,279.229
2023/03/30,284.230011,272.173,273.738,274.169,283.121,280.474,279.473
2023/03/31,283.730011,274.111,275.756,276.4,285.197,282.705,281.303
2023/04/03,286.519989,276.178,277.767,278.457,287.293,284.835,283.421
2023/04/04,287.230011,278.172,279.646,280.308,289.302,286.819,285.562
2023/04/05,285.850006,279.625,280.952,281.528,290.766,288.219,287.233
2023/04/06,283.209991,279.849,281.027,281.431,290.988,288.355,287.732
2023/04/10,289.209991,278.612,279.686,279.901,289.745,287.055,286.758
2023/04/11,285.75,279.026,280.141,280.752,290.284,287.74,287.05
2023/04/12,284.790009,279.313,280.459,281.196,290.57,288.111,287.289
